,NPA,Vacant_Land,Vacant_Land_Area,Commercial_Construction,Commercial_Construction_Permitted_Units,Commercial_Size,Commercial_Size_Total,Commercial_Building_Age,Impervious_Surface,Impervious_Surface_Area,Adopt_a_Stream,Adopt_a_Stream_Length,Pharmacy_Proximity,Pharmacy_Proximate_Units,Housing_Density,Housing_Units,Single_Family_Housing,Single_Family_Units,Housing_Size,Housing_Age,New_Residential,New_Residential_Permit_Units,Residential_Renovation,Residential_Renovation_Permit_Units,Foreclosures,Foreclosed_Units,Housing_Violations,Housing_Violations_Total,Street_Connectivity,Transit_Proximity,Transit_Proximate_Units,Violent_Crime_Rate,Property_Crime_Rate,Combined_Crime_Rate,Violent_Crime_Rate_Log2,Property_Crime_Rate_Log2,Violent_Crime_Rate_Class,Property_Crime_Rate_Class
69,72,25.8,300,3.35,39,54433.0,2395062.0,11.0,226,19.4,0.0,0.0,39.0,443.0,1.0,1128,22.0,246.0,2317.0,22.0,4.64,54,0.26,3,0.4,2.0,0.18,2.0,1.32,89,1007.0,6.97256638936,43.7202978374,25.3464321134,2.6405617564,6.612132624,2.0,3.0
70,73,33.4,1360,0.29,12,71718.0,3012144.0,30.0,280,6.9,26.87,2.01,2.0,19.0,0.3,1093,94.0,1029.0,1692.0,25.0,0.69,28,0.15,6,0.9,10.0,0.64,7.0,1.18,0,5.0,6.97256638936,19.4312434833,13.2019049363,2.6405617564,4.408088416,2.0,2.0
72,75,5.7,20,1.17,4,36598.0,36598.0,12.0,65,18.9,0.0,0.0,89.0,706.0,2.3,795,33.0,262.0,4401.0,15.0,0.87,3,4.37,15,0.9,7.0,0.13,1.0,1.13,0,0.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
73,76,19.4,252,0.85,11,13403.0,120627.0,17.0,102,7.9,0.0,0.0,3.0,36.0,0.9,1154,100.0,1150.0,2497.0,13.0,0.0,0,0.38,5,0.5,6.0,0.09,1.0,1.12,8,88.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
74,77,28.1,287,0.49,5,10911.0,229140.0,16.0,133,13.0,100.0,0.18,59.0,1316.0,2.2,2245,47.0,1052.0,2117.0,13.0,0.0,0,0.49,5,0.4,5.0,0.04,1.0,1.19,51,1134.0,0.0,19.4312434833,9.71562174164,0.0,4.408088416,0.0,2.0
75,78,9.3,59,3.47,22,55684.0,2561479.0,19.0,188,29.6,45.63,3.08,41.0,373.0,1.5,919,47.0,427.0,2553.0,15.0,0.0,0,0.32,2,0.0,0.0,0.33,3.0,1.17,93,858.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
77,80,52.7,363,1.16,8,5250.0,20998.0,19.0,39,5.7,0.0,0.0,0.0,0.0,1.7,1163,2.0,23.0,1634.0,51.0,0.0,0,0.0,0,2.2,9.0,0.0,0.0,1.27,0,0.0,0.0,19.4312434833,9.71562174164,0.0,4.408088416,0.0,2.0
78,81,14.0,27,2.62,5,6955.0,13909.0,13.0,43,22.6,0.0,0.0,56.0,253.0,2.4,454,62.0,280.0,2013.0,21.0,0.0,0,1.57,3,0.7,3.0,0.0,0.0,1.06,95,433.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
79,82,26.5,99,1.34,5,13313.0,146445.0,13.0,80,21.4,100.0,0.79,46.0,524.0,3.0,1134,36.0,410.0,2823.0,12.0,0.27,1,1.6,6,0.7,5.0,0.18,2.0,1.24,90,1022.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
80,83,59.7,1432,0.04,1,52464.0,209854.0,53.0,64,2.7,0.0,0.0,0.0,0.0,0.1,291,78.0,226.0,2147.0,44.0,0.04,1,0.38,9,0.3,1.0,3.09,9.0,1.02,0,0.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
81,84,48.5,1205,0.12,3,24403.0,219629.0,44.0,43,1.7,0.0,0.0,15.0,37.0,0.1,240,95.0,229.0,1537.0,51.0,0.48,12,0.0,0,0.8,2.0,0.42,1.0,1.16,20,48.0,0.0,19.4312434833,9.71562174164,0.0,4.408088416,0.0,2.0
82,85,8.6,24,0.36,1,2691.0,43057.0,65.0,45,16.3,0.0,0.0,37.0,286.0,2.8,769,82.0,634.0,1033.0,58.0,0.0,0,4.35,12,0.5,3.0,5.46,42.0,1.26,100,769.0,6.97256638936,19.4312434833,13.2019049363,2.6405617564,4.408088416,2.0,2.0
83,86,1.0,1,81.76,81,3783.0,45397.0,40.0,39,39.4,100.0,1.0,61.0,678.0,11.3,1116,2.0,23.0,890.0,61.0,0.0,0,0.0,0,0.5,1.0,2.6,29.0,1.0,100,1116.0,0.0,19.4312434833,9.71562174164,0.0,4.408088416,0.0,2.0
85,88,11.3,48,0.93,4,12229.0,611473.0,56.0,62,14.4,0.0,0.0,0.0,0.0,1.1,466,100.0,466.0,1007.0,52.0,3.49,15,3.72,16,1.2,5.0,6.22,29.0,1.21,100,466.0,0.0,19.4312434833,9.71562174164,0.0,4.408088416,0.0,2.0
86,89,7.4,18,0.0,0,1402.0,2804.0,29.0,35,14.7,0.0,0.0,41.0,227.0,2.3,549,100.0,549.0,1391.0,35.0,0.0,0,2.95,7,0.4,2.0,0.73,4.0,1.1,99,544.0,1.74314159734,19.4312434833,10.5871925403,1.3202808782,4.408088416,1.0,2.0
88,91,4.1,12,0.35,1,1434.0,1434.0,15.0,44,15.6,0.0,0.0,0.0,0.0,3.0,839,83.0,695.0,1508.0,35.0,0.0,0,2.48,7,1.0,7.0,0.48,4.0,1.07,68,568.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
91,94,16.9,111,1.68,11,42349.0,1566926.0,27.0,131,20.0,0.0,0.0,16.0,60.0,0.6,378,94.0,354.0,1133.0,43.0,0.0,0,0.91,6,1.1,4.0,1.06,4.0,1.27,95,360.0,0.0,19.4312434833,9.71562174164,0.0,4.408088416,0.0,2.0
93,96,28.2,202,1.67,12,26640.0,825852.0,12.0,166,23.1,88.19,2.54,48.0,900.0,2.6,1865,32.0,605.0,1604.0,22.0,5.56,40,0.7,5,1.0,10.0,0.21,4.0,1.17,97,1812.0,0.0,19.4312434833,9.71562174164,0.0,4.408088416,0.0,2.0
94,97,4.3,24,0.18,1,8482.0,25446.0,32.0,89,16.2,28.76,1.76,4.0,66.0,2.9,1556,59.0,915.0,1884.0,24.0,6.01,33,1.46,8,0.9,10.0,0.06,1.0,1.08,66,1022.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
